Hyperparameters: 
	Inputs: 2
	Hidden: 3
	output: 1
	Activation: ReLU
	Learning Rate: 0.2
	Batch Size: 100
	# of Batches: 100

[0, 1]	0.4544771245639165
[1, 0]	0.4544771245639165
[1, 1]	0.4544771245639165


Batch No. 44
[0, 0]	0.4736179859255349
[0, 1]	0.4736179859255349
[1, 0]	0.4736179859255349
[1, 1]	0.4736179859255349


Batch No. 45
[0, 0]	0.4199182701452221
[0, 1]	0.4199182701452221
[1, 0]	0.4199182701452221
[1, 1]	0.4199182701452221


Batch No. 46
[0, 0]	0.5167508097790716
[0, 1]	0.5167508097790716
[1, 0]	0.5167508097790716
[1, 1]	0.5167508097790716


Batch No. 47
[0, 0]	0.3974305371618764
[0, 1]	0.3974305371618764
[1, 0]	0.3974305371618764
[1, 1]	0.3974305371618764


Batch No. 48
[0, 0]	0.5187619127731085
[0, 1]	0.5187619127731085
[1, 0]	0.5187619127731085
[1, 1]	0.5187619127731085


Batch No. 49
[0, 0]	0.5078331155324279
[0, 1]	0.5078331155324279
[1, 0]	0.5078331155324279
[1, 1]	0.5078331155324279


Batch No. 50
[0, 0]	0.5725114990772262
[0, 1]	0.5725114990772262
[1, 0]	0.5725114990772262
[1, 1]	0.5725114990772262


Batch No. 51
[0, 0]	0.5087665911577991
[0, 1]	0.5087665911577991
[1, 0]	0.5087665911577991
[1, 1]	0.5087665911577991


Batch No. 52
[0, 0]	0.5722796689722833
[0, 1]	0.5722796689722833
[1, 0]	0.5722796689722833
[1, 1]	0.5722796689722833


Batch No. 53
[0, 0]	0.4721182206089495
[0, 1]	0.4721182206089495
[1, 0]	0.4721182206089495
[1, 1]	0.4721182206089495


Batch No. 54
[0, 0]	0.5929669093007758
[0, 1]	0.5929669093007758
[1, 0]	0.5929669093007758
[1, 1]	0.5929669093007758


Batch No. 55
[0, 0]	0.5540648305879434
[0, 1]	0.5540648305879434
[1, 0]	0.5540648305879434
[1, 1]	0.5540648305879434


Batch No. 56
[0, 0]	0.5245279963615654
[0, 1]	0.5245279963615654
[1, 0]	0.5245279963615654
[1, 1]	0.5245279963615654


Batch No. 57
[0, 0]	0.604622437595041
[0, 1]	0.604622437595041
[1, 0]	0.604622437595041
[1, 1]	0.604622437595041


Batch No. 58
[0, 0]	0.4692248650270357
[0, 1]	0.4692248650270357
[1, 0]	0.4692248650270357
[1, 1]	0.4692248650270357


Batch No. 59
[0, 0]	0.4454636989082873
[0, 1]	0.4454636989082873
[1, 0]	0.4454636989082873
[1, 1]	0.4454636989082873


Batch No. 60
[0, 0]	0.426678665966739
[0, 1]	0.426678665966739
[1, 0]	0.426678665966739
[1, 1]	0.426678665966739


Batch No. 61
[0, 0]	0.564392213796887
[0, 1]	0.564392213796887
[1, 0]	0.564392213796887
[1, 1]	0.564392213796887


Batch No. 62
[0, 0]	0.41274275785930653
[0, 1]	0.41274275785930653
[1, 0]	0.41274275785930653
[1, 1]	0.41274275785930653


Batch No. 63
[0, 0]	0.5054706134551661
[0, 1]	0.5054706134551661
[1, 0]	0.5054706134551661
[1, 1]	0.5054706134551661


Batch No. 64
[0, 0]	0.6093259259437523
[0, 1]	0.6093259259437523
[1, 0]	0.6093259259437523
[1, 1]	0.6093259259437523


Batch No. 65
[0, 0]	0.41055445619445435
[0, 1]	0.41055445619445435
[1, 0]	0.41055445619445435
[1, 1]	0.41055445619445435


Batch No. 66
[0, 0]	0.4936108402126088
[0, 1]	0.4936108402126088
[1, 0]	0.4936108402126088
[1, 1]	0.4936108402126088


Batch No. 67
[0, 0]	0.5514051991546409
[0, 1]	0.5514051991546409
[1, 0]	0.5514051991546409
[1, 1]	0.5514051991546409


Batch No. 68
[0, 0]	0.5127431550140467
[0, 1]	0.5127431550140467
[1, 0]	0.5127431550140467
[1, 1]	0.5127431550140467


Batch No. 69
[0, 0]	0.4718732818942927
[0, 1]	0.4718732818942927
[1, 0]	0.4718732818942927
[1, 1]	0.4718732818942927


Batch No. 70
[0, 0]	0.5193414859472113
[0, 1]	0.5193414859472113
[1, 0]	0.5193414859472113
[1, 1]	0.5193414859472113


Batch No. 71
[0, 0]	0.4702829367798392
[0, 1]	0.4702829367798392
[1, 0]	0.4702829367798392
[1, 1]	0.4702829367798392


Batch No. 72
[0, 0]	0.5568396019133836
[0, 1]	0.5568396019133836
[1, 0]	0.5568396019133836
[1, 1]	0.5568396019133836


Batch No. 73
[0, 0]	0.3783953941808066
[0, 1]	0.3783953941808066
[1, 0]	0.3783953941808066
[1, 1]	0.3783953941808066


Batch No. 74
[0, 0]	0.599886144618569
[0, 1]	0.599886144618569
[1, 0]	0.599886144618569
[1, 1]	0.599886144618569


Batch No. 75
[0, 0]	0.5293437367268701
[0, 1]	0.5293437367268701
[1, 0]	0.5293437367268701
[1, 1]	0.5293437367268701


Batch No. 76
[0, 0]	0.4928246498362834
[0, 1]	0.4928246498362834
[1, 0]	0.4928246498362834
[1, 1]	0.4928246498362834


Batch No. 77
[0, 0]	0.5761782743161112
[0, 1]	0.5761782743161112
[1, 0]	0.5761782743161112
[1, 1]	0.5761782743161112


Batch No. 78
[0, 0]	0.4594332494712882
[0, 1]	0.4594332494712882
[1, 0]	0.4594332494712882
[1, 1]	0.4594332494712882


Batch No. 79
[0, 0]	0.5097173028919126
[0, 1]	0.5097173028919126
[1, 0]	0.5097173028919126
[1, 1]	0.5097173028919126


Batch No. 80
[0, 0]	0.5842327275056058
[0, 1]	0.5842327275056058
[1, 0]	0.5842327275056058
[1, 1]	0.5842327275056058


Batch No. 81
[0, 0]	0.45854564019602856
[0, 1]	0.45854564019602856
[1, 0]	0.45854564019602856
[1, 1]	0.45854564019602856


Batch No. 82
[0, 0]	0.5099107251496452
[0, 1]	0.5099107251496452
[1, 0]	0.5099107251496452
[1, 1]	0.5099107251496452


Batch No. 83
[0, 0]	0.41102043587584824
[0, 1]	0.41102043587584824
[1, 0]	0.41102043587584824
[1, 1]	0.41102043587584824


Batch No. 84
[0, 0]	0.5298335517256544
[0, 1]	0.5298335517256544
[1, 0]	0.5298335517256544
[1, 1]	0.5298335517256544


Batch No. 85
[0, 0]	0.5176135620232355
[0, 1]	0.5176135620232355
[1, 0]	0.5176135620232355
[1, 1]	0.5176135620232355


Batch No. 86
[0, 0]	0.5081149981960824
[0, 1]	0.5081149981960824
[1, 0]	0.5081149981960824
[1, 1]	0.5081149981960824


Batch No. 87
[0, 0]	0.5478149027017503
[0, 1]	0.5478149027017503
[1, 0]	0.5478149027017503
[1, 1]	0.5478149027017503


Batch No. 88
[0, 0]	0.35663198113782246
[0, 1]	0.35663198113782246
[1, 0]	0.35663198113782246
[1, 1]	0.35663198113782246


Batch No. 89
[0, 0]	0.44832418072872066
[0, 1]	0.44832418072872066
[1, 0]	0.44832418072872066
[1, 1]	0.44832418072872066


Batch No. 90
[0, 0]	0.6091885431580266
[0, 1]	0.6091885431580266
[1, 0]	0.6091885431580266
[1, 1]	0.6091885431580266


Batch No. 91
[0, 0]	0.4691341746002014
[0, 1]	0.4691341746002014
[1, 0]	0.4691341746002014
[1, 1]	0.4691341746002014


Batch No. 92
[0, 0]	0.4826323892886404
[0, 1]	0.4826323892886404
[1, 0]	0.4826323892886404
[1, 1]	0.4826323892886404


Batch No. 93
[0, 0]	0.429864707719044
[0, 1]	0.429864707719044
[1, 0]	0.429864707719044
[1, 1]	0.429864707719044


Batch No. 94
[0, 0]	0.442080226862731
[0, 1]	0.442080226862731
[1, 0]	0.442080226862731
[1, 1]	0.442080226862731


Batch No. 95
[0, 0]	0.610073569521312
[0, 1]	0.610073569521312
[1, 0]	0.610073569521312
[1, 1]	0.610073569521312


Batch No. 96
[0, 0]	0.4105884002122408
[0, 1]	0.4105884002122408
[1, 0]	0.4105884002122408
[1, 1]	0.4105884002122408


Batch No. 97
[0, 0]	0.6240650805911605
[0, 1]	0.6240650805911605
[1, 0]	0.6240650805911605
[1, 1]	0.6240650805911605


Batch No. 98
[0, 0]	0.4231386379034617
[0, 1]	0.4231386379034617
[1, 0]	0.4231386379034617
[1, 1]	0.4231386379034617


Batch No. 99
[0, 0]	0.5527476743256644
[0, 1]	0.5527476743256644
[1, 0]	0.5527476743256644
[1, 1]	0.5527476743256644


Batch No. 100
[0, 0]	0.3906519133301041
[0, 1]	0.3906519133301041
[1, 0]	0.3906519133301041
[1, 1]	0.3906519133301041


